date,total_views,unique_views
2022-08-16,5,2
2022-08-17,11,3
2022-08-18,2,1
2022-08-19,5,2
2022-08-20,4,2
2022-08-21,1,1
2022-08-22,5,1
2022-08-23,3,1
2022-08-24,7,3
2022-08-25,21,1
2022-08-26,46,4
2022-08-27,14,2
2022-08-28,0,0
2022-08-29,3,2
2022-08-30,8,2
2022-08-31,12,3
2022-09-01,17,3
2022-09-02,46,4
2022-09-03,37,3
2022-09-04,62,7
2022-09-05,103,12
2022-09-06,64,4
2022-09-07,31,5
2022-09-08,40,5
2022-09-09,30,2
2022-09-10,24,2
2022-09-11,49,2
2022-09-12,33,4
2022-09-13,0,0
2022-09-14,21,4
2022-09-15,29,4
2022-09-16,3,1
2022-09-17,3,1
2022-09-18,33,4
2022-09-19,28,3
2022-09-20,4,2
2022-09-21,0,0
2022-09-22,1,1
2022-09-23,19,2
2022-09-24,7,1
2022-09-25,41,3
2022-09-26,47,5
2022-09-27,16,5
2022-09-28,26,6
2022-09-29,7,2
2022-09-30,30,2
2022-10-01,0,0
2022-10-02,13,2
2022-10-03,18,3
2022-10-04,7,2
2022-10-05,0,0
2022-10-06,13,1
2022-10-07,42,2
2022-10-08,5,1
2022-10-09,1,1
2022-10-10,15,2
2022-10-11,21,2
2022-10-12,7,1
2022-10-13,43,4
2022-10-14,6,2
2022-10-15,18,3
2022-10-16,4,2
2022-10-17,9,3
2022-10-18,23,4
2022-10-19,18,4
2022-10-20,14,3
2022-10-21,0,0
2022-10-22,8,2
2022-10-23,11,2
2022-10-24,6,2
2022-10-25,4,1
2022-10-26,63,8
2022-10-27,29,6
2022-10-28,9,2
2022-10-29,0,0
2022-10-30,1,1
2022-10-31,53,5
2022-11-01,55,5
2022-11-02,2,1
2022-11-03,5,2
2022-11-04,6,3
2022-11-05,12,3
2022-11-06,22,2
2022-11-07,11,3
2022-11-08,1,1
2022-11-09,6,2
2022-11-10,10,2
2022-11-11,18,3
2022-11-12,0,0
2022-11-13,20,4
2022-11-14,9,3
2022-11-15,34,4
2022-11-16,0,0
2022-11-17,5,3
2022-11-18,0,0
2022-11-19,4,1
